time,angle,vel_pc,vel_pt,total_count
312512,315,180,230,-7
312758,0,180,201,-6
312973,45,180,237,-6
313200,90,225,221,-6
313453,135,225,198,-6
313676,180,225,229,-6
313908,225,225,219,-6
314120,270,180,242,-6
314339,315,180,233,-6
314588,0,180,200,-5
314801,45,180,239,-5
315028,90,180,223,-5
315280,135,225,198,-5
315502,180,225,230,-5
315736,225,225,218,-5
315944,270,225,245,-5
316167,315,180,230,-5
316414,0,180,200,-4
316625,45,180,241,-4
316855,90,180,220,-4
317108,135,180,198,-4
317329,180,180,230,-4
317560,225,180,219,-4
317770,270,180,244,-4
317988,315,180,235,-4
318234,0,225,202,-3
318451,45,225,233,-3
318678,90,225,223,-3
318931,135,225,198,-3
319153,180,180,231,-3
319383,225,180,220,-3
319590,270,180,248,-3
319809,315,180,234,-3
320058,0,180,198,-2
320269,45,225,242,-2
320497,90,225,221,-2
320749,135,225,199,-2
320967,180,225,235,-2
321200,225,180,218,-2
321408,270,180,247,-2
321627,315,180,233,-2
321874,0,180,200,-1
322087,45,180,240,-1
322313,90,180,224,-1
322567,135,180,197,-1
322788,180,180,231,-1
323017,225,180,221,-1
323228,270,225,244,-1
323445,315,225,235,-1
323689,0,225,203,0
323904,45,225,237,0
324132,90,180,221,0
324386,135,180,198,0
324605,180,180,232,0
324837,225,180,220,0
325045,270,180,247,0
325266,315,225,230,0
325511,0,225,203,1
325724,45,225,240,1
325950,90,225,222,1
326202,135,180,199,1
326423,180,180,232,1
326650,225,180,224,1
326861,270,180,243,1
327079,315,180,235,1
327326,0,180,201,2
327538,45,180,240,2
327764,90,180,223,2
328017,135,180,199,2
328237,180,225,233,2
328467,225,225,220,2
328675,270,225,247,2
328895,315,225,232,2
329140,0,180,203,3
329351,45,180,241,3
329577,90,180,223,3
329829,135,180,199,3
330049,180,180,232,3
330278,225,225,221,3
330487,270,225,246,3
330707,315,225,232,3
330951,0,225,204,4
331161,45,180,242,4
331387,90,180,223,4
331640,135,180,199,4
331855,180,180,238,4
332086,225,180,219,4
332295,270,180,247,4
332513,315,180,235,4
332758,0,180,203,5
332968,45,180,241,5
333195,90,225,224,5
333444,135,225,201,5
333665,180,225,232,5
333894,225,225,221,5
334101,270,180,248,5
334322,315,180,231,5
334564,0,180,206,6
334776,45,180,241,6
335003,90,180,221,6
335254,135,225,200,6
335472,180,225,235,6
335699,225,225,223,6
335905,270,225,251,6
336124,315,180,234,6
336369,0,180,203,7
336580,45,180,241,7
336806,90,180,224,7
337056,135,180,200,7
337273,180,225,236,7
337501,225,225,223,7
337712,270,225,243,7
337928,315,225,237,7
338172,0,180,203,8
338383,45,180,242,8
338610,90,180,223,8
338857,135,180,203,8
339078,180,180,232,8
339305,225,180,224,8
339514,270,180,246,8
339731,315,180,235,8
339969,0,180,210,9
340183,45,225,237,9
340406,90,225,226,9
340656,135,225,201,9
340872,180,225,236,9
341100,225,180,223,9
341305,270,180,252,9
341524,315,180,233,9
341767,0,180,205,10
341977,45,180,242,10
342203,90,225,223,10
342453,135,225,201,10
342669,180,225,237,10
342898,225,225,222,10
343107,270,180,245,10
343324,315,180,236,10
343564,0,180,207,11
343779,45,180,237,11
344004,90,180,224,11
344252,135,225,203,11
344472,180,225,233,11
344701,225,225,221,11
344909,270,225,247,11
345126,315,180,237,11
345371,0,180,203,12
345581,45,180,242,12
345808,90,180,222,12
346058,135,180,200,12
346276,180,225,235,12
346507,225,225,221,12
346714,270,225,248,12
346931,315,225,235,12
347172,0,180,206,13
347385,45,180,240,13
347612,90,180,223,13
347860,135,180,202,13
348080,180,180,233,13
348308,225,180,222,13
348515,270,180,250,13
348732,315,180,235,13
348976,0,180,204,14
349187,45,225,241,14
349413,90,225,223,14
349666,135,225,199,14
349885,180,225,233,14
350115,225,180,219,14
350323,270,180,248,14
350541,315,180,235,14
350804,0,180,187,15
355865,315,0,-1278,15
355999,270,0,-422,15
356086,225,-90,-740,15
356167,180,-90,-827,15
356254,135,-90,-740,15
356335,90,-90,-803,15
356428,45,-90,-661,15
356512,0,-90,-750,14
356595,315,-90,-781,14
356689,270,-90,-669,14
356771,225,-90,-815,14
356849,180,-90,-865,14
356935,135,-90,-760,14
357015,90,-90,-815,14
357108,45,-540,-661,14
357191,0,-540,-750,13
357272,315,-540,-815,13
357365,270,-540,-677,13
357446,225,-540,-815,13
357525,180,-540,-878,13
357611,135,-540,-750,13
357690,90,-540,-827,13
357781,45,-540,-677,13
357865,0,-540,-740,12
357947,315,-540,-827,12
358039,270,-540,-669,12
358121,225,-540,-827,12
358199,180,-540,-878,12
358285,135,-540,-760,12
358363,90,-540,-839,12
358456,45,-540,-661,12
358540,0,-540,-760,11
358621,315,-540,-815,11
358714,270,-540,-685,11
358796,225,-540,-815,11
358874,180,-540,-865,11
358959,135,-540,-770,11
359037,90,-540,-827,11
359130,45,-540,-669,11
359213,0,-540,-750,10
359294,315,-540,-803,10
359387,270,-540,-685,10
359469,225,-540,-815,10
359547,180,-540,-865,10
359632,135,-540,-760,10
359711,90,-540,-839,10
359803,45,-540,-661,10
359887,0,-540,-750,9
359967,315,-540,-827,9
360060,270,-540,-685,9
360142,225,-540,-803,9
360220,180,-540,-865,9
360305,135,-540,-781,9
360384,90,-540,-827,9
360476,45,-540,-669,9
360559,0,-540,-760,8
360641,315,-540,-815,8
360732,270,-540,-685,8
360814,225,-540,-815,8
360892,180,-540,-878,8
360976,135,-540,-781,8
361055,90,-540,-827,8
361147,45,-540,-669,8
361231,0,-540,-740,7
361312,315,-540,-839,7
361404,270,-540,-685,7
361485,225,-540,-827,7
361563,180,-540,-865,7
361647,135,-540,-781,7
361725,90,-540,-852,7
361819,45,-540,-654,7
361902,0,-540,-770,6
361981,315,-540,-839,6
362074,270,-540,-685,6
362156,225,-540,-815,6
362232,180,-540,-878,6
362317,135,-540,-770,6
362396,90,-540,-827,6
362488,45,-540,-677,6
362571,0,-540,-750,5
362651,315,-540,-839,5
362743,270,-540,-677,5
362825,225,-540,-827,5
362902,180,-540,-878,5
362987,135,-540,-781,5
363066,90,-540,-827,5
363157,45,-540,-677,5
363240,0,-540,-750,4
363321,315,-540,-827,4
363413,270,-540,-685,4
363495,225,-540,-815,4
363572,180,-540,-878,4
363656,135,-540,-792,4
363735,90,-540,-827,4
363828,45,-540,-661,4
363910,0,-540,-760,3
363991,315,-540,-839,3
364083,270,-495,-685,3
364164,225,-495,-815,3
364240,180,-495,-892,3
364326,135,-495,-770,3
364405,90,-495,-827,3
364496,45,-495,-669,3
364578,0,-495,-770,2
364659,315,-495,-827,2
364752,270,-495,-677,2
364833,225,-495,-827,2
364910,180,-495,-878,2
364994,135,-495,-792,2
365074,90,-495,-839,2
365166,45,-585,-661,2
365247,0,-585,-792,1
365329,315,-585,-815,1
365421,270,-585,-685,1
365503,225,-585,-815,1
365579,180,-585,-907,1
365663,135,-585,-781,1
365743,90,-585,-815,1
365836,45,-585,-669,1
365918,0,-585,-770,0
365998,315,-585,-852,0
366091,270,-495,-677,0
366171,225,-495,-839,0
366248,180,-495,-878,0
366332,135,-495,-781,0
366411,90,-495,-827,0
366503,45,-495,-669,0
366585,0,-495,-781,-1
366666,315,-495,-827,-1
366758,270,-495,-677,-1
366839,225,-495,-827,-1
366916,180,-495,-892,-1
367000,135,-495,-781,-1
367080,90,-540,-827,-1
367172,45,-540,-677,-1
367253,0,-540,-781,-2
367334,315,-540,-827,-2
367426,270,-540,-685,-2
367507,225,-540,-827,-2
367584,180,-540,-892,-2
367669,135,-540,-781,-2
367747,90,-540,-852,-2
367840,45,-540,-654,-2
367921,0,-540,-781,-3
368003,315,-540,-827,-3
368094,270,-540,-694,-3
368175,225,-540,-827,-3
368251,180,-540,-892,-3
368336,135,-540,-781,-3
368414,90,-540,-827,-3
368507,45,-540,-669,-3
368587,0,-540,-781,-4
368669,315,-540,-815,-4
368761,270,-540,-694,-4
368841,225,-540,-827,-4
368919,180,-540,-892,-4
369004,135,-540,-760,-4
369082,90,-540,-865,-4
369174,45,-540,-669,-4
369256,0,-540,-770,-5
369337,315,-540,-827,-5
369428,270,-540,-694,-5
369508,225,-540,-852,-5
369586,180,-540,-892,-5
369671,135,-540,-770,-5
369748,90,-540,-852,-5
369840,45,-540,-677,-5
369922,0,-540,-770,-6
370003,315,-540,-815,-6
370095,270,-540,-694,-6
370176,225,-540,-827,-6
370252,180,-540,-892,-6
370337,135,-540,-770,-6
370416,90,-540,-839,-6
370506,45,-540,-677,-6
370589,0,-540,-760,-7
370669,315,-540,-852,-7
370761,270,-540,-685,-7
370842,225,-540,-827,-7
370919,180,-540,-892,-7
371004,135,-540,-770,-7
371081,90,-540,-865,-7
371174,45,-540,-669,-7
371255,0,-540,-770,-8
371337,315,-540,-815,-8
371427,270,-540,-703,-8
371508,225,-540,-827,-8
371586,180,-540,-878,-8
371670,135,-540,-792,-8
371748,90,-540,-827,-8
371841,45,-540,-677,-8
371921,0,-540,-770,-9
372002,315,-540,-827,-9
372093,270,-540,-694,-9
372174,225,-540,-827,-9
372251,180,-540,-878,-9
372336,135,-540,-770,-9
372414,90,-540,-865,-9
372506,45,-540,-669,-9
372588,0,-540,-760,-10
372669,315,-540,-839,-10
372760,270,-540,-694,-10
372840,225,-540,-827,-10
372918,180,-540,-878,-10
373001,135,-540,-792,-10
373080,90,-540,-839,-10
373173,45,-540,-661,-10
373254,0,-540,-781,-11
373334,315,-540,-839,-11
373426,270,-540,-694,-11
373507,225,-540,-827,-11
373583,180,-540,-878,-11
373667,135,-540,-792,-11
373745,90,-540,-839,-11
373836,45,-540,-677,-11
373920,0,-540,-750,-12
374000,315,-540,-839,-12
374091,270,-540,-694,-12
374171,225,-540,-827,-12
374249,180,-540,-892,-12
374332,135,-540,-781,-12
374411,90,-540,-852,-12
374502,45,-540,-669,-12
374585,0,-540,-760,-13
374665,315,-540,-839,-13
374756,270,-540,-694,-13
374837,225,-540,-827,-13
374914,180,-540,-907,-13
374996,135,-540,-792,-13
375075,90,-540,-839,-13
375168,45,-585,-669,-13
375249,0,-585,-760,-14
375329,315,-585,-852,-14
375421,270,-585,-677,-14
375502,225,-585,-839,-14
375579,180,-585,-907,-14
375662,135,-585,-792,-14
375740,90,-585,-865,-14
375833,45,-585,-661,-14
375915,0,-585,-781,-15
375994,315,-585,-852,-15
376086,270,-495,-677,-15
376167,225,-495,-827,-15
376244,180,-495,-907,-15
376328,135,-495,-781,-15
376407,90,-495,-827,-15
376498,45,-495,-677,-15
376579,0,-495,-781,-16
376658,315,-495,-852,-16
376752,270,-495,-677,-16
376832,225,-495,-827,-16
376908,180,-495,-907,-16
376991,135,-495,-792,-16
377070,90,-495,-852,-16
377162,45,-585,-661,-16
377244,0,-585,-781,-17
377323,315,-585,-852,-17
377416,270,-585,-677,-17
377496,225,-585,-839,-17
377573,180,-585,-892,-17
377658,135,-585,-781,-17
377737,90,-585,-839,-17
377828,45,-585,-669,-17
377910,0,-585,-781,-18
377990,315,-585,-839,-18
378082,270,-495,-694,-18
378162,225,-495,-839,-18
378238,180,-495,-907,-18
378322,135,-495,-781,-18
378400,90,-495,-839,-18
378492,45,-495,-669,-18
378574,0,-495,-770,-19
378654,315,-495,-839,-19
378746,270,-495,-685,-19
378826,225,-495,-839,-19
378903,180,-495,-892,-19
378987,135,-495,-792,-19
379066,90,-495,-839,-19
379158,45,-585,-669,-19
379239,0,-585,-781,-20
379319,315,-585,-827,-20
379411,270,-585,-685,-20
379492,225,-585,-839,-20
379569,180,-585,-892,-20
379652,135,-585,-792,-20
379730,90,-585,-827,-20
379823,45,-585,-669,-20
379904,0,-585,-781,-21
379984,315,-585,-815,-21
380076,270,-585,-694,-21
380156,225,-540,-827,-21
380233,180,-540,-907,-21
380318,135,-540,-770,-21
380397,90,-540,-827,-21
380488,45,-540,-685,-21
380569,0,-540,-781,-22
380650,315,-540,-827,-22
380742,270,-540,-694,-22
380822,225,-540,-839,-22
380899,180,-540,-892,-22
380983,135,-540,-781,-22
381061,90,-540,-839,-22
381153,45,-540,-677,-22
381234,0,-540,-770,-23
381315,315,-540,-827,-23
381407,270,-540,-685,-23
381488,225,-540,-839,-23
381563,180,-540,-907,-23
381647,135,-540,-781,-23
381726,90,-540,-839,-23
381817,45,-540,-677,-23
381899,0,-540,-770,-24
381979,315,-540,-839,-24
382071,270,-540,-685,-24
382151,225,-540,-839,-24
382229,180,-540,-878,-24
382313,135,-540,-781,-24
382392,90,-540,-827,-24
382482,45,-540,-694,-24
382564,0,-540,-770,-25
382646,315,-540,-827,-25
382736,270,-540,-694,-25
382817,225,-540,-827,-25
382894,180,-540,-892,-25
382979,135,-540,-781,-25
383055,90,-540,-865,-25
383148,45,-540,-677,-25
383229,0,-540,-760,-26
383310,315,-540,-827,-26
383401,270,-540,-694,-26
383482,225,-540,-839,-26
383559,180,-540,-878,-26
383643,135,-540,-792,-26
383721,90,-540,-852,-26
383813,45,-540,-661,-26
383895,0,-540,-770,-27
383976,315,-540,-827,-27
384066,270,-540,-703,-27
384147,225,-540,-839,-27
384224,180,-540,-892,-27
384308,135,-540,-781,-27
384387,90,-540,-839,-27
384477,45,-540,-685,-27
384560,0,-540,-750,-28
384641,315,-540,-839,-28
384732,270,-540,-703,-28
384813,225,-540,-827,-28
384889,180,-540,-907,-28
384973,135,-540,-781,-28
385051,90,-540,-852,-28
385141,45,-540,-685,-28
385225,0,-540,-740,-29
385305,315,-540,-852,-29
385396,270,-540,-694,-29
385477,225,-540,-839,-29
385555,180,-540,-878,-29
385638,135,-540,-792,-29
385716,90,-540,-852,-29
385808,45,-540,-677,-29
385890,0,-540,-770,-30
385971,315,-540,-839,-30
386062,270,-540,-703,-30
386143,225,-540,-815,-30
386220,180,-540,-907,-30
386304,135,-540,-781,-30
386381,90,-540,-852,-30
386472,45,-540,-677,-30
386555,0,-540,-750,-31
386635,315,-540,-852,-31
386726,270,-540,-685,-31
386807,225,-540,-827,-31
386884,180,-540,-892,-31
386968,135,-540,-792,-31
387045,90,-540,-852,-31
387139,45,-540,-654,-31
387220,0,-540,-781,-32
387300,315,-540,-852,-32
387392,270,-540,-685,-32
387473,225,-540,-827,-32
387550,180,-540,-892,-32
387633,135,-540,-792,-32
387710,90,-540,-839,-32
387803,45,-540,-669,-32
387885,0,-540,-770,-33
387964,315,-540,-839,-33
388057,270,-540,-694,-33
388136,225,-540,-839,-33
388213,180,-540,-892,-33
388297,135,-540,-792,-33
388375,90,-540,-865,-33
388467,45,-540,-654,-33
388548,0,-540,-781,-34
388629,315,-540,-839,-34
388720,270,-540,-694,-34
